id,start_datetime,stop_datetime,region_id,genotype,replicate,uid,t,asleep
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,134100,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,135000,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,135900,0.866666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,136800,0.133333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,137700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,138600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,139500,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,140400,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,141300,0.866666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,142200,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,143100,0.2
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,144000,0.133333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,144900,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,145800,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,146700,0.333333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,147600,0.2
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,148500,0.4
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,149400,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,150300,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,151200,0.8
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,152100,0.133333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,153000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,153900,0.866666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,154800,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,155700,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,156600,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,157500,0.466666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,158400,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,159300,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,160200,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,161100,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,162000,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,162900,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,163800,0.8
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,164700,0.266666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,165600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,166500,0.466666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,167400,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,168300,1
